"Country Name""""","Country Code""""","Indicator Name""""","Indicator Code""""","1960""""","1961""""","1962""""","1963""""","1964""""","1965""""","1966""""","1967""""","1968""""","1969""""","1970""""","1971""""","1972""""","1973""""","1974""""","1975""""","1976""""","1977""""","1978""""","1979""""","1980""""","1981""""","1982""""","1983""""","1984""""","1985""""","1986""""","1987""""","1988""""","1989""""","1990""""","1991""""","1992""""","1993""""","1994""""","1995""""","1996""""","1997""""","1998""""","1999""""","2000""""","2001""""","2002""""","2003""""","2004""""","2005""""","2006""""","2007""""","2008""""","2009""""","2010""""","2011""""","2012""""","2013""""","2014""""","2015""""","2016""""","2017""""","2018""""","2019""""","2020""""","2021""""","2022"""""
"Bosnia and Herzegovina,""BIH"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""23"",""31"",""52"","""",""32"",""50"",""66"",""55"","""",""59"","""",""56"",""43"",""2"",""7"",""41"","""",""60"",""87"",""84"",""45"",""50"","""","""","
"Belarus,""BLR"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""828"",""683"",""624"",""698"",""752"",""910"",""993"",""994"",""930"",""895"",""1082"",""1065"",""1166"",""1188"",""1405"",""1510"",""1753"",""1759"",""1725"",""1681"",""1489"",""652"",""543"",""455"",""434"",""453"",""298"",""317"","""","""","
"Belize,""BLZ"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bermuda,""BMU"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bolivia,""BOL"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8"",""12"",""18"",""11"",""4"",""5"","""","""","""","""","""","""","""",""26"",""28"",""17"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""9"","""",""12"",""59"","""","""","""","""","""","
"Brazil,""BRA"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2149"",""2171"",""2116"",""2302"",""2062"",""1954"",""1855"",""2451"",""2338"",""2323"",""2389"",""2319"",""2100"",""2429"",""2269"",""2707"",""2611"",""2756"",""2491"",""2816"",""3179"",""3439"",""3481"",""3866"",""4044"",""4054"",""3956"",""4194"",""4280"",""4271"",""4228"",""4695"",""4798"",""4959"",""4659"",""4641"",""5200"",""5480"",""4980"",""5464"",""5280"","""","""","
"Barbados,""BRB"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2"","""","""","""",""3"",""1"","""","""","""","""",""3"",""1"","""","""","""","""","""",""29"","""","""","
"Brunei Darussalam,""BRN"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""20"",""20"",""26"","""",""16"",""8"",""26"",""8"",""5"","""","""","
"Bhutan,""BTN"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3"",""3"","""",""1"",""4"","""",""1"",""1"","""","""","""","
"Botswana,""BWA"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""5"",""8"",""4"",""3"",""1"",""3"","""",""2"",""2"","""","""","
"Central African Republic,""CAF"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Canada,""CAN"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1648"",""2164"",""2000"",""2017"",""2026"",""2092"",""2161"",""2527"",""2772"",""3031"",""2549"",""2182"",""2807"",""3623"",""2480"",""2431"",""2583"",""3344"",""3809"",""4061"",""4187"",""3963"",""3959"",""3929"",""5231"",""5183"",""5522"",""4998"",""5061"",""5067"",""4550"",""4754"",""4709"",""4567"",""4198"",""4277"",""4078"",""4053"",""4349"",""4238"",""4452"","""","""","
"Central Europe and the Baltics,""CEB"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Switzerland,""CHE"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4049"",""3712"",""3845"",""3817"",""3393"",""3191"",""3199"",""3298"",""3236"",""3247"",""2987"",""2949"",""3068"",""2999"",""3033"",""2890"",""2504"",""2408"",""2025"",""1916"",""2083"",""1859"",""1827"",""1831"",""1742"",""1643"",""1740"",""1692"",""1594"",""1684"",""1622"",""1597"",""1480"",""1525"",""1480"",""1477"",""1462"",""1337"",""1283"",""1369"",""1384"","""","""","
"Channel Islands,""CHI"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Chile,""CHL"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""140"",""92"",""96"",""96"",""105"",""122"",""96"",""108"",""111"",""135"",""169"",""151"",""178"",""155"",""219"",""171"",""176"",""161"",""207"",""204"",""241"",""246"",""391"",""329"",""382"",""361"",""291"",""403"",""531"",""343"",""328"",""339"",""336"",""340"",""452"",""443"",""386"",""425"",""406"",""438"",""372"","""","""","
"China,""CHN"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4065"",""3494"",""3975"",""4780"",""4749"",""5832"",""7372"",""10022"",""12084"",""11191"",""10011"",""11628"",""12672"",""13751"",""15626"",""25346"",""30038"",""39806"",""56769"",""65786"",""93485"",""122318"",""153060"",""194579"",""229096"",""293066"",""415829"",""535313"",""704936"",""801135"",""968252"",""1204981"",""1245709"",""1393815"",""1243568"",""1344817"","""","""","
"Cote d'Ivoire,""CIV"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""26"","""","""","""","""","""","""","""","""","""","""","
"Cameroon,""CMR"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Congo, Dem. Rep.,""COD"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""44"",""42"",""72"","""",""
Congo", Rep.,"COG""""",Patent applications," residents""""","IP.PAT.RESD""""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","5""""","""","19""""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""
"Colombia,""COL"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""43"",""39"","""",""82"",""69"",""72"",""81"",""52"",""85"",""90"","""",""85"",""120"",""138"",""124"",""141"",""87"",""80"",""161"",""68"",""75"",""65"",""54"",""82"",""76"",""99"",""142"",""128"",""126"",""128"",""133"",""183"",""213"",""251"",""260"",""321"",""545"",""595"",""415"",""422"",""369"","""","""","
"Comoros,""COM"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Cabo Verde,""CPV"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2"",""2"",""3"","""",""1"","""","""","
"Costa Rica,""CRI"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""30"",""41"",""39"",""16"",""24"",""16"",""11"",""10"",""10"",""13"",""15"",""63"",""18"",""27"",""32"",""25"",""23"",""25"",""22"",""31"",""28"",""21"",""23"",""33"",""26"",""17"",""22"",""20"",""24"",""16"",""8"",""13"",""9"",""18"",""15"",""17"",""9"",""19"",""8"",""16"",""12"","""","""","
"Caribbean small states,""CSS"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Cuba,""CUB"",""Patent applications, residents"",""IP.PAT.RESD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""129"",""122"",""183"",""166"",""214"","""","""","""","""","""","""","""",""1"",""1"",""121"",""104"",""83"",""109"","""",""110"","""","""","""","""","""",""105"",""94"",""74"",""69"",""59"","""",""62"",""38"",""27"",""24"","""",""32"",""29"",""29"",""27"",""33"","""","""","
