"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","n/a","GEORG","EST-","n/a","21/10/2005","1997","X-332","JEPPESEN NIELS","X-YACHTS",,
"2","EST","n/a","VINDUNGEN","FIN-9152","n/a","21/10/2005","2001","FINNGULF 28 E","STRAHLMAN","FINNGULF MARINE / SAARE PAAT AS",,
"3","EST","n/a","VINCA","FIN-7850","n/a","21/10/2005","1991","X-99","JEPPESEN NIELS","X-YACHTS",,
"4","EST","n/a","ZUXU","EST 381","Club","11/07/2005","2005","FARR 30 OD","FARR YACHT DESIGN","OVINGTON MARINE",,
"5","EST","n/a","KATARINA","EST-220","Club","09/07/2005","1997","RIDAS 35","LßNNGREN","RIDAS YACHTS",,
"6","EST","n/a","ALFA I","EST 359","Club","14/06/2005","2004","FIRST CLASS 7.5",,"BENETEAU",,
"7","EST","n/a","BETA I","EST 358","Club","14/06/2005","2004","FIRST CLASS 7.5",,"BENETEAU",,
"8","EST","n/a","O2","MLT- 3700","Club","11/06/2005","2003","ELAN 37","HUMPHREYS","ELAN YACHTS",,
"9","EST","n/a","HALIN","EST 277","Club","04/06/2005","1978","MAXI 77","PETTERSON PELLE","PETTERSSON PELE",,
"10","EST","n/a","LOVISE","EST 194","Club","02/06/2005","1991","POLARIS","SET","SET",,
"11","EST","n/a","VILLU","EST 102","Club","02/06/2005","1985","CARTER 30","CARTER DICK","TELIGA L",,
"12","EST","n/a","JANA","EST 173","Club","02/06/2005","1984","CONRAD 25","PETTERSON PELLE",,,
"13","EST","n/a","PILLE-RIIN","EST 24","Club","31/05/2005","1990","POLARIS","SET","SET",,
"14","EST","n/a","MERILY 2","EST 392","Club","25/05/2005","2005","RIDAS 31","BLANK DIETER","RIDAS YACHTS",,
"15","EST","n/a","URD","EST 370","Club","19/05/2005","1976","COMFORT 30","ALBINSSON","COMFORT YACHTS",,
"16","EST","n/a","HELL","EST 48","Club","19/05/2005","1980","CARTER 30","CARTER DICK",,,
"17","EST","n/a","NELLY","EST 123","Club","19/05/2005","1983","CARTER 30","CARTER DICK",,,
"18","EST","n/a","ODIN","EST 21","Club","16/05/2005","1982","CONRAD 760 RT","PETTERSON PELLE","TELIGA L",,
"19","EST","n/a","CALVA","EST-241","IMS","16/05/2005","1994","X-99","JEPPESEN NIELS","X-YACHTS",,
"20","EST","n/a","Ad Fundum",,"IMS","05/05/2005","2000",,,,,
"21","EST","n/a","MERIT","EST 320","IMS","05/05/2005","2001","GRAND SURPRISE 31","NIVELT BERNARD","ARCHAMBAULT",,
"22","EST","n/a","LETTLAND","LAT 94","IMS","14/03/2005","2002","FIRST 36.7","FARR YACHT DESIGN","BENETEAU",,
"23","EST","n/a","NEUF DE PACQUES","FRA- 9500","IMS","08/03/2005","2004","FIRST 44.4 RAC","FARR YACHT DESIGN","BENETEAU",,
